season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,type,player_id,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,19,Mason_Holgate_478,2,8,0.4454694466965404,0.7222395979424365,0,44,2.0,10114.0,1,model_dream,478,Mason,Holgate,Mason Holgate,Everton,everton,44.55,0.0
2019-20,22,Dominic_Calvert-Lewin_147,4,8,0.5839818716049194,0.7285268306732178,-1,59,8.0,87395.0,1,model_budget,147,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,58.4,0.0
2019-20,26,Dominic_Calvert-Lewin_147,4,8,0.6697831749916077,0.7333713173866272,1,61,6.0,178490.0,1,model_budget,147,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,66.98,0.0
2019-20,30,Dominic_Calvert-Lewin_147,4,8,0.7803776860237122,0.9088157415390015,1,65,2.0,148891.0,1,model_budget,147,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,78.04,0.0
2019-20,31,Dominic_Calvert-Lewin_147,4,8,0.6461484432220459,0.7231155037879944,1,65,2.0,38732.0,0,model_budget,147,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,64.61,0.0
2019-20,30,Dominic_Calvert-Lewin_147,4,8,0.7803776860237122,0.9088157415390015,1,65,2.0,148891.0,1,model_dream,147,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,78.04,0.0
2019-20,20,Dominic_Calvert-Lewin_147,4,8,0.4504997730255127,0.5338257551193237,-1,57,1.0,143902.0,1,transfer_dream,147,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,45.05,0.0
2019-20,21,Dominic_Calvert-Lewin_147,4,8,0.5752258896827698,0.7190338969230652,0,58,1.0,266754.0,1,transfer_dream,147,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,57.52,0.0
2019-20,26,Dominic_Calvert-Lewin_147,4,8,0.6697831749916077,0.7333713173866272,1,61,6.0,178490.0,1,transfer_dream,147,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,66.98,0.0
2019-20,27,Dominic_Calvert-Lewin_147,4,8,0.6768299341201782,0.7206100821495056,1,62,7.0,156503.0,1,transfer_dream,147,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,67.68,0.0
2019-20,28,Dominic_Calvert-Lewin_147,4,8,0.5001513957977295,0.5732965469360352,-1,63,2.0,209309.0,1,transfer_dream,147,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Everton,everton,50.02,0.0
