season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,type,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,24,Yerry_Mina_142,2,8,0.1086934256470471,0.14625434725256312,0,53,15.0,1288.0,0.0,model_budget,142,Mina,Yerry,Mina,Yerry Mina,Everton,everton,10.87,0.0
2019-20,25,Yerry_Mina_142,2,8,0.7417891124657613,0.8401109074391289,1,53,2.0,18675.0,0.0,model_dream,142,Mina,Yerry,Mina,Yerry Mina,Everton,everton,74.18,0.0
2019-20,2,Yerry_Mina_142,2,8,0.6149083319210593,0.6859386379894571,1,55,1.0,195343.0,1.0,transfer_budget,142,Mina,Yerry,Mina,Yerry Mina,Everton,everton,61.49,0.0
2019-20,2,Yerry_Mina_142,2,8,0.6149083319210593,0.6859386379894571,1,55,1.0,195343.0,1.0,transfer_dream,142,Mina,Yerry,Mina,Yerry Mina,Everton,everton,61.49,0.0
2019-20,26,Gylfi_Sigurdsson_151,3,8,0.3617844879627228,0.4102351367473602,-1,73,1.0,1408.0,0.0,model_dream,151,Sigurdsson,Gylfi,Sigurdsson,Gylfi Sigurdsson,Everton,everton,36.18,0.0
2019-20,34,Gylfi_Sigurdsson_151,3,8,0.3838392496109009,0.42839282751083374,-1,73,2.0,515.0,1.0,model_budget,151,Sigurdsson,Gylfi,Sigurdsson,Gylfi Sigurdsson,Everton,everton,38.38,0.0
2019-20,30,AndrÃÂ© Filipe_Tavares Gomes_422,3,8,0.3253454566001892,0.3915112912654877,-1,52,3.0,548.0,0.0,model_budget,422,André Gomes,André Filipe,Tavares Gomes,André Filipe Tavares Gomes,Everton,everton,32.53,0.0
2019-20,31,Seamus_Coleman_144,2,8,0.4973821580996346,0.6630213461638144,0,53,2.0,1456.0,1.0,model_budget,144,Coleman,Seamus,Coleman,Seamus Coleman,Everton,everton,49.74,0.0
2019-20,37,Michael_Keane_143,2,8,0.7469683242936155,0.8241499215836882,1,52,0.0,16494.0,1.0,model_budget,143,Keane,Michael,Keane,Michael Keane,Everton,everton,74.7,0.0
2019-20,37,Michael_Keane_143,2,8,0.7469683242936155,0.8241499215836882,1,52,0.0,16494.0,1.0,model_dream,143,Keane,Michael,Keane,Michael Keane,Everton,everton,74.7,0.0
2019-20,9,Michael_Keane_143,2,8,0.16156073374402005,0.247420600897602,0,55,1.0,5444.0,0.0,transfer_budget,143,Keane,Michael,Keane,Michael Keane,Everton,everton,16.16,0.0
2019-20,17,Michael_Keane_143,2,8,0.28516382673865004,0.3699628541638407,0,53,1.0,5542.0,0.0,transfer_dream,143,Keane,Michael,Keane,Michael Keane,Everton,everton,28.52,0.0
2019-20,37,Theo_Walcott_153,3,8,0.5838321447372437,0.6425419449806213,-1,62,4.0,1071.0,0.0,model_dream,153,Walcott,Theo,Walcott,Theo Walcott,Everton,everton,58.38,0.0
2019-20,12,Mason_Holgate_478,2,8,0.07881816823842451,0.10539484383456248,0,44,0.0,9884.0,0.0,transfer_dream,478,Holgate,Mason,Holgate,Mason Holgate,Everton,everton,7.88,0.0
2019-20,33,Anthony_Gordon_561,4,8,0.4144738018512726,0.5061385631561279,-1,45,2.0,799.0,0.0,transfer_dream,561,Gordon,Anthony,Gordon,Anthony Gordon,Everton,everton,41.45,0.0
2019-20,2,Dean_Henderson_471,1,15,0.16731743740408514,0.18664488537061852,0,45,1.0,28603.0,0.0,model_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,16.73,0.0
2019-20,5,Dean_Henderson_471,1,15,0.1398317960034098,0.15724981082630338,0,45,6.0,8266.0,0.0,model_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,13.98,0.0
2019-20,33,Dean_Henderson_471,1,15,0.5584914600442925,0.6957741511815143,1,52,7.0,8551.0,0.0,model_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,55.85,0.0
2019-20,7,Dean_Henderson_471,1,15,0.18763374332913715,0.21536583654085897,0,45,6.0,56255.0,1.0,transfer_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,18.76,0.0
2019-20,7,Dean_Henderson_471,1,15,0.18763374332913715,0.21536583654085897,0,45,6.0,56255.0,1.0,transfer_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,18.76,0.0
2019-20,9,Dean_Henderson_471,1,15,0.20571581956469284,0.3150414739480155,0,46,3.0,64710.0,1.0,transfer_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,20.57,0.0
2019-20,9,Dean_Henderson_471,1,15,0.20571581956469284,0.3150414739480155,0,46,3.0,64710.0,1.0,transfer_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,20.57,0.0
2019-20,10,Dean_Henderson_471,1,15,0.2177256992275176,0.32342311844564586,0,46,6.0,58910.0,1.0,transfer_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,21.77,0.0
2019-20,10,Dean_Henderson_471,1,15,0.2177256992275176,0.32342311844564586,0,46,6.0,58910.0,1.0,transfer_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,21.77,0.0
2019-20,17,Dean_Henderson_471,1,15,0.35597651389322305,0.4618330753989038,0,47,12.0,22172.0,0.0,transfer_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,35.6,0.0
2019-20,18,Dean_Henderson_471,1,15,0.4403940553591441,0.6347712230268807,0,48,2.0,117172.0,1.0,transfer_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,44.04,0.0
2019-20,18,Dean_Henderson_471,1,15,0.4403940553591441,0.6347712230268807,0,48,2.0,117172.0,1.0,transfer_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,44.04,0.0
