season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,type,captain,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,was_home,winning_goals,yellow_cards,opponent_team_strength,opponent_team_weakness,team_weakness,team_strength,opponent_weakness_nextgw,opponent_strength_nextgw,is_home_nextgw,transfers_in,transfers_out,transfers_out_nextgw,totalpoints_prevgw,bps_prevgw,ict_prevgw,opponent_strength_prevgw,opponent_weakness_prevgw,goals_scored_prevgw,matchday,assists_prevgw,key_passes_prevgw,bonus_prevgw,bps_prevgw.1,matchday_nextgw,opponent_team_away_strength_nextgw,opponent_team_home_strength_nextgw,opponent_team_away_weakness_nextgw,opponent_team_home_weakness_nextgw,opponent_team_away_strength_prevgw,opponent_team_home_strength_prevgw,opponent_team_away_weakness_prevgw,opponent_team_home_weakness_prevgw,team_home_strength,team_home_weakness,team_away_strength,team_away_weakness,opponent_team_home_strength,opponent_team_home_weakness,opponent_team_away_strength,opponent_team_away_weakness,hit,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability
2019-20,26,Danny_Rose_332,2,13,0.6015114332496265,0.9011877200591897,1.0,53,2.0,1463.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,Rose,Danny,Rose,Danny Rose,Newcastle United,newcastleunited,60.15
2019-20,5,Danny_Rose_332,2,13,0.7252091901709478,1.0,1.0,55,1.0,7871.0,1,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,Rose,Danny,Rose,Danny Rose,Newcastle United,newcastleunited,72.52
2019-20,4,Danny_Rose_332,2,13,0.6693487416056368,0.7513073322038846,1.0,55,5.0,21588.0,0,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,Rose,Danny,Rose,Danny Rose,Newcastle United,newcastleunited,66.93
2019-20,26,Danny_Rose_332,2,13,0.6015114332496265,0.9011877200591897,1.0,53,2.0,1463.0,0,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,Rose,Danny,Rose,Danny Rose,Newcastle United,newcastleunited,60.15
2019-20,29,Danny_Rose_332,2,13,0.37965879700812016,0.8007623846911848,0.0,53,6.0,2704.0,0,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,Rose,Danny,Rose,Danny Rose,Newcastle United,newcastleunited,37.97
2019-20,29,Miguel_AlmirÃÂ³n_266,3,13,0.7050461173057556,0.9117262363433838,1.0,58,6.0,6601.0,0,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,Almirón,Miguel,Almirón,Miguel Almirón,Newcastle United,newcastleunited,70.5
2019-20,29,Miguel_AlmirÃÂ³n_266,3,13,0.7050461173057556,0.9117262363433838,1.0,58,6.0,6601.0,1,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,Almirón,Miguel,Almirón,Miguel Almirón,Newcastle United,newcastleunited,70.5
2019-20,3,Joelinton CÃÂ¡ssio_ApolinÃÂ¡rio de Lira_466,4,13,0.6998895406723022,0.7514975070953369,1.0,59,2.0,33119.0,0,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,Joelinton,Joelinton Cássio,Apolinário de Lira,Joelinton Cássio Apolinário de Lira,Newcastle United,newcastleunited,69.99
2019-20,23,Joelinton CÃÂ¡ssio_ApolinÃÂ¡rio de Lira_466,4,13,0.4421840012073517,0.4913231134414673,-1.0,55,2.0,2195.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,Joelinton,Joelinton Cássio,Apolinário de Lira,Joelinton Cássio Apolinário de Lira,Newcastle United,newcastleunited,44.22
2019-20,20,Joelinton CÃÂ¡ssio_ApolinÃÂ¡rio de Lira_466,4,13,0.4003676176071167,0.4490326941013336,-1.0,56,2.0,163.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,Joelinton,Joelinton Cássio,Apolinário de Lira,Joelinton Cássio Apolinário de Lira,Newcastle United,newcastleunited,40.04
