season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,8,Trent_Alexander-Arnold_182,2,10,0.7134833130410156,0.8839252912925045,1,72,2.0,83965.0,1.0,182,Alexander-Arnold,Trent,Alexander-Arnold,Trent Alexander-Arnold,Liverpool,liverpool,71.35,0.0
2019-20,14,Trent_Alexander-Arnold_182,2,10,0.9060815510062068,1.0,1,72,3.0,61755.0,1.0,182,Alexander-Arnold,Trent,Alexander-Arnold,Trent Alexander-Arnold,Liverpool,liverpool,90.61,0.0
2019-20,4,Virgil_van Dijk_183,2,10,0.6226590303842439,0.7437101256362607,1,65,2.0,128944.0,1.0,183,van Dijk,Virgil,van Dijk,Virgil van Dijk,Liverpool,liverpool,62.27,0.0
2019-20,8,Virgil_van Dijk_183,2,10,0.7428723331851104,0.9203349700009634,1,65,2.0,27864.0,1.0,183,van Dijk,Virgil,van Dijk,Virgil van Dijk,Liverpool,liverpool,74.29,0.0
2019-20,14,Virgil_van Dijk_183,2,10,0.8882401221651798,0.9803092460924582,1,64,1.0,60061.0,1.0,183,van Dijk,Virgil,van Dijk,Virgil van Dijk,Liverpool,liverpool,88.82,0.0
2019-20,16,Virgil_van Dijk_183,2,10,0.7531289257818401,0.8107755648089128,1,64,7.0,68807.0,1.0,183,van Dijk,Virgil,van Dijk,Virgil van Dijk,Liverpool,liverpool,75.31,0.0
2019-20,7,AdriÃÂ¡n_San Miguel del Castillo_526,1,10,0.6470461664791672,0.7426789896735073,1,46,2.0,32847.0,1.0,526,Adrián,Adrián,San Miguel del Castillo,Adrián San Miguel del Castillo,Liverpool,liverpool,64.7,0.0
2019-20,7,Andrew_Robertson_181,2,10,0.8712326260415935,1.0,1,69,2.0,37689.0,1.0,181,Robertson,Andrew,Robertson,Andrew Robertson,Liverpool,liverpool,87.12,0.0
2019-20,8,Andrew_Robertson_181,2,10,0.8071760363341759,1.0,1,69,8.0,34739.0,1.0,181,Robertson,Andrew,Robertson,Andrew Robertson,Liverpool,liverpool,80.72,0.0
2019-20,9,Andrew_Robertson_181,2,10,0.598887184265612,0.9171599036907392,1,69,2.0,56224.0,1.0,181,Robertson,Andrew,Robertson,Andrew Robertson,Liverpool,liverpool,59.89,0.0
2019-20,16,Andrew_Robertson_181,2,10,0.7949253503080648,0.8557712070451521,1,71,1.0,41800.0,1.0,181,Robertson,Andrew,Robertson,Andrew Robertson,Liverpool,liverpool,79.49,0.0
2019-20,12,Alisson_Ramses Becker_189,1,10,0.5078365659670541,0.6790738323386343,1,59,3.0,93630.0,1.0,189,Alisson,Alisson,Ramses Becker,Alisson Ramses Becker,Liverpool,liverpool,50.78,0.0
2019-20,16,James_Milner_200,3,10,0.4609169065952301,0.4932160079479218,-1,53,2.0,859.0,1.0,200,Milner,James,Milner,James Milner,Liverpool,liverpool,46.09,0.0
2019-20,2,John_McGinn_31,3,2,0.6394046545028687,0.6850361227989197,1,56,6.0,44518.0,1.0,31,McGinn,John,McGinn,John McGinn,Aston Villa,astonvilla,63.94,0.0
2019-20,2,Douglas Luiz_Soares de Paulo_470,3,2,0.4425804615020752,0.4741654694080353,-1,45,3.0,129253.0,0.0,470,Douglas Luiz,Douglas Luiz,Soares de Paulo,Douglas Luiz Soares de Paulo,Aston Villa,astonvilla,44.26,0.0
2019-20,9,Douglas Luiz_Soares de Paulo_470,3,2,0.2251390665769577,0.2487132251262665,-1,45,2.0,8656.0,0.0,470,Douglas Luiz,Douglas Luiz,Soares de Paulo,Douglas Luiz Soares de Paulo,Aston Villa,astonvilla,22.51,0.0
2019-20,17,Douglas Luiz_Soares de Paulo_470,3,2,0.3589366674423218,0.4183254539966583,-1,45,2.0,5402.0,0.0,470,Douglas Luiz,Douglas Luiz,Soares de Paulo,Douglas Luiz Soares de Paulo,Aston Villa,astonvilla,35.89,0.0
2019-20,3,Tom_Heaton_94,1,2,0.15380431648110274,0.22861459923759506,0,45,3.0,63932.0,0.0,94,Heaton,Tom,Heaton,Tom Heaton,Aston Villa,astonvilla,15.38,0.0
2019-20,5,Bjorn_Engels_455,2,2,0.7113335588212557,0.7999401477780915,1,45,0.0,33309.0,1.0,455,Engels,Bjorn,Engels,Bjorn Engels,Aston Villa,astonvilla,71.13,0.0
