season,round,name,element_type,team,pred,value,total_points_nextgw,transfers_in_nextgw,starting,type,captain,selected,team_name,probability,jersey_code,team_name,probability,jersey_code,player_id,web_name,first_name,second_name,full_name
2019-20,26,Virgil_van Dijk_183,2,10,,64,6.0,222215.0,1,transfer_dream,0.0,3177803.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,22,Virgil_van Dijk_183,2,10,,64,7.0,82103.0,1,transfer_dream,0.0,2866541.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,27,Virgil_van Dijk_183,2,10,,65,6.0,73854.0,1,transfer_dream,0.0,3265907.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,24,Virgil_van Dijk_183,2,10,,64,15.0,70071.0,0,transfer_dream,0.0,2922685.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,16,Virgil_van Dijk_183,2,10,,64,1.0,60061.0,0,transfer_dream,0.0,2756210.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,28,Virgil_van Dijk_183,2,10,,65,1.0,59837.0,1,transfer_dream,0.0,3308961.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,21,Virgil_van Dijk_183,2,10,,64,6.0,48470.0,1,transfer_dream,0.0,2852799.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,35,Virgil_van Dijk_183,2,10,,65,2.0,47763.0,0,transfer_dream,0.0,3315856.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,34,Virgil_van Dijk_183,2,10,,65,7.0,46588.0,0,transfer_dream,0.0,3289026.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,36,Virgil_van Dijk_183,2,10,,65,2.0,40933.0,0,transfer_dream,0.0,3347161.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,7,Virgil_van Dijk_183,2,10,3401581.0,65,2.0,32733.0,1,selection_dream,0.0,3401581.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,37,Virgil_van Dijk_183,2,10,3363960.0,65,1.0,16724.0,1,selection_dream,0.0,3363960.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,29,Virgil_van Dijk_183,2,10,3350597.0,65,1.0,30707.0,1,selection_dream,0.0,3350597.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,36,Virgil_van Dijk_183,2,10,3347161.0,65,2.0,40933.0,1,selection_dream,0.0,3347161.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,30,Virgil_van Dijk_183,2,10,3323775.0,66,6.0,26563.0,1,selection_dream,0.0,3323775.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,35,Virgil_van Dijk_183,2,10,3315856.0,65,2.0,47763.0,1,selection_dream,0.0,3315856.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,33,Virgil_van Dijk_183,2,10,3309746.0,65,0.0,20674.0,1,selection_dream,0.0,3309746.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,28,Virgil_van Dijk_183,2,10,3308961.0,65,1.0,59837.0,1,selection_dream,0.0,3308961.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,8,Virgil_van Dijk_183,2,10,3308891.0,65,8.0,39184.0,1,selection_dream,0.0,3308891.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,6,Virgil_van Dijk_183,2,10,3306073.0,65,2.0,128944.0,1,selection_dream,0.0,3306073.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,31,Virgil_van Dijk_183,2,10,3291071.0,66,6.0,132396.0,1,selection_dream,0.0,3291071.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,34,Virgil_van Dijk_183,2,10,3289026.0,65,7.0,46588.0,1,selection_dream,0.0,3289026.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,38,Virgil_van Dijk_183,2,10,3288260.0,65,1.0,11350.0,1,selection_dream,0.0,3288260.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,27,Virgil_van Dijk_183,2,10,3265907.0,65,6.0,73854.0,1,selection_dream,0.0,3265907.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,5,Virgil_van Dijk_183,2,10,3261181.0,65,7.0,87396.0,1,selection_dream,0.0,3261181.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,32,Virgil_van Dijk_183,2,10,3249515.0,65,9.0,55153.0,1,selection_dream,0.0,3249515.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,39,Virgil_van Dijk_183,2,10,3239360.0,65,9.0,28952.0,1,selection_dream,0.0,3239360.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,9,Virgil_van Dijk_183,2,10,3234963.0,65,2.0,35562.0,1,selection_dream,0.0,3234963.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,10,Virgil_van Dijk_183,2,10,3233186.0,65,2.0,27864.0,1,selection_dream,0.0,3233186.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,4,Virgil_van Dijk_183,2,10,3217035.0,65,2.0,94480.0,1,selection_dream,0.0,3217035.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,11,Virgil_van Dijk_183,2,10,3185653.0,65,2.0,24219.0,1,selection_dream,0.0,3185653.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,26,Virgil_van Dijk_183,2,10,3177803.0,64,6.0,121745.0,1,selection_dream,0.0,3177803.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,12,Virgil_van Dijk_183,2,10,3161305.0,65,1.0,20403.0,1,selection_dream,0.0,3161305.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,13,Virgil_van Dijk_183,2,10,3008759.0,65,2.0,10214.0,1,selection_dream,0.0,3008759.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,25,Virgil_van Dijk_183,2,10,2959715.0,64,2.0,222215.0,1,selection_dream,0.0,2959715.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,24,Virgil_van Dijk_183,2,10,2922685.0,64,15.0,70071.0,1,selection_dream,0.0,2922685.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,23,Virgil_van Dijk_183,2,10,2909838.0,64,6.0,56997.0,1,selection_dream,0.0,2909838.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,19,Virgil_van Dijk_183,2,10,2898864.0,64,6.0,46904.0,1,selection_dream,0.0,2898864.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,22,Virgil_van Dijk_183,2,10,2866541.0,64,7.0,82103.0,1,selection_dream,0.0,2866541.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,14,Virgil_van Dijk_183,2,10,2864573.0,64,2.0,35815.0,1,selection_dream,0.0,2864573.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,21,Virgil_van Dijk_183,2,10,2852799.0,64,6.0,48470.0,1,selection_dream,0.0,2852799.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,18,Virgil_van Dijk_183,2,10,2844566.0,64,7.0,68807.0,1,selection_dream,0.0,2844566.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,15,Virgil_van Dijk_183,2,10,2821719.0,64,17.0,18321.0,1,selection_dream,0.0,2821719.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,17,Virgil_van Dijk_183,2,10,2820753.0,64,6.0,52494.0,1,selection_dream,0.0,2820753.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,16,Virgil_van Dijk_183,2,10,2756210.0,64,1.0,60061.0,1,selection_dream,0.0,2756210.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,6,Virgil_van Dijk_183,2,10,3401581.0,65,2.0,32733.0,1,selection_dream,0.0,3401581.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,36,Virgil_van Dijk_183,2,10,3363960.0,65,1.0,16724.0,1,selection_dream,0.0,3363960.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,28,Virgil_van Dijk_183,2,10,3350597.0,65,1.0,30707.0,1,selection_dream,0.0,3350597.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,35,Virgil_van Dijk_183,2,10,3347161.0,65,2.0,40933.0,1,selection_dream,0.0,3347161.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,29,Virgil_van Dijk_183,2,10,3323775.0,66,6.0,26563.0,1,selection_dream,0.0,3323775.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,34,Virgil_van Dijk_183,2,10,3315856.0,65,2.0,47763.0,1,selection_dream,0.0,3315856.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,32,Virgil_van Dijk_183,2,10,3309746.0,65,0.0,20674.0,1,selection_dream,0.0,3309746.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
2019-20,27,Virgil_van Dijk_183,2,10,3308961.0,65,1.0,59837.0,1,selection_dream,0.0,3308961.0,Liverpool,,liverpool,Liverpool,,liverpool,183,van Dijk,Virgil,van Dijk,Virgil van Dijk
